Profile,ProfileLabel,Year,Annual spend,Envelope,Closing net,NPV (m)
2,Profile 2 – 1.01% toward 'Mathematical Best',2054,2633153044.0,2500000000.0,445982019.0645303,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2055,2584889864.0,2500000000.0,361092155.0645303,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2056,2516289326.0,2500000000.0,344802829.06453025,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2057,2470631264.0,2500000000.0,374171565.0645303,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2058,2510931632.0,2500000000.0,363239933.0645303,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2059,2176834146.9181814,2500000000.0,686405786.1463487,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2060,2138280143.0878787,2500000000.0,1048125643.0584701,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2061,2276978525.0,2500000000.0,1271147118.05847,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2062,1579596441.2242422,2500000000.0,2191550676.834228,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2063,1172357816.321212,395054505.05050504,1414247365.5635211,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2064,708817249.5575756,395054505.05050504,1100484621.0564506,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2065,377528082.00303024,395054505.05050504,1118011044.1039255,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2066,163289610.9090909,388448242.42424244,1343169675.619077,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2067,28317647.272727273,388448242.42424244,1703300270.770592,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2068,0.0,0.0,,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2069,0.0,0.0,,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2070,0.0,0.0,,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2071,0.0,0.0,,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2072,0.0,0.0,,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2073,0.0,0.0,,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2074,0.0,0.0,,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2075,0.0,0.0,,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2076,0.0,0.0,,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2077,0.0,0.0,,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2078,0.0,0.0,,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2079,0.0,0.0,,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2080,0.0,0.0,,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2081,0.0,0.0,,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2082,0.0,0.0,,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2083,0.0,0.0,,59511.45716368808
2,Profile 2 – 1.01% toward 'Mathematical Best',2084,0.0,0.0,,59511.45716368808
3,Profile 3 – 2.02% toward 'Mathematical Best',2025,250724018.5979798,2500000000.0,2249275981.4020205,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2026,1321126685.7137456,2500000000.0,3428149295.6882744,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2027,2455695859.7672725,2500000000.0,3472453435.921002,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2028,2910570082.737909,2500000000.0,3061883353.183093,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2029,3258511172.387778,2500000000.0,2303372180.7953153,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2030,2888425097.3554316,2500000000.0,1914947083.439884,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2031,3370609390.462627,2500000000.0,1044337692.9772573,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2032,2884096053.0690913,2500000000.0,660241639.908166,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2033,2605384501.191818,2500000000.0,554857138.7163478,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2034,2630581552.863031,2500000000.0,424275585.853317,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2035,2579241490.008586,2500000000.0,345034095.844731,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2036,3234849551.1524243,2500000000.0,-389815455.30769354,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2037,2493197862.8854113,2500000000.0,-383013318.1931047,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2038,2440576431.078721,2500000000.0,-323589749.2718259,61256.26385130589
